Model,Imagenette,CIFAR10,CIFAR100,HAM10k,Dogs,Indoor67,MiniPlaces
ConvMixer,89.25 (1.0),94.52 (0.792),77.58 (0.878),80.64 (1.0),54.81 (0.738),58.36 (0.95),57.82 (0.672)
EfficientNet,88.82 (0.967),95.11 (0.975),78.79 (1.0),79.44 (0.808),63.78 (1.0),59.7 (1.0),61.14 (1.0)
MobileNet,86.24 (0.772),94.17 (0.683),75.74 (0.691),78.78 (0.703),57.53 (0.817),50.6 (0.662),57.39 (0.63)
ShuffleNet,84.0 (0.602),92.15 (0.056),75.8 (0.697),78.64 (0.681),55.49 (0.758),53.81 (0.781),57.03 (0.594)
GhostNet,86.29 (0.776),93.56 (0.494),73.52 (0.467),76.31 (0.308),55.22 (0.75),41.34 (0.318),57.73 (0.663)
TinyNet,85.3 (0.701),94.9 (0.91),78.21 (0.941),74.38 (0.0),29.59 (0.0),50.67 (0.665),59.06 (0.795)
MobileOne,81.4 (0.405),93.34 (0.425),74.55 (0.571),79.11 (0.756),46.74 (0.502),43.51 (0.399),56.33 (0.525)
FBNet,83.11 (0.535),94.36 (0.742),75.62 (0.679),78.44 (0.649),51.41 (0.638),48.73 (0.593),57.61 (0.652)
ConvNeXt,76.05 (0.0),91.97 (0.0),68.91 (0.0),78.58 (0.671),30.96 (0.04),32.76 (0.0),51.01 (0.0)
MobileViT,86.55 (0.795),95.19 (1.0),77.25 (0.844),77.38 (0.479),59.18 (0.865),54.78 (0.817),59.74 (0.862)
StartNet,84.31 (0.626),94.88 (0.904),77.59 (0.879),79.04 (0.744),48.91 (0.565),51.79 (0.706),55.45 (0.438)
